topic,level1,level2
Social and Cultural Dynamics,Applied,Other / Interdisciplinary
South Asian Cinema and Culture,Applied,Other / Interdisciplinary
Space Science and Extraterrestrial Life,Applied,Other / Interdisciplinary
Sports Analytics and Performance,Applied,Other / Interdisciplinary
Youth Development and Social Support,Applied,Other / Interdisciplinary
scientometrics and bibliometrics research,Applied,Other / Interdisciplinary
Academic Freedom and Politics,Applied,Political Economy & Governance
"Crime, Illicit Activities, and Governance",Applied,Political Economy & Governance
Criminal Justice and Corrections Analysis,Applied,Political Economy & Governance
"Defense, Military, and Policy Studies",Applied,Political Economy & Governance
Dispute Resolution and Class Actions,Applied,Political Economy & Governance
Electoral Systems and Political Participation,Applied,Political Economy & Governance
Gender Politics and Representation,Applied,Political Economy & Governance
"Gender, Security, and Conflict",Applied,Political Economy & Governance
Gun Ownership and Violence Research,Applied,Political Economy & Governance
International Science and Diplomacy,Applied,Political Economy & Governance
Judicial and Constitutional Studies,Applied,Political Economy & Governance
"Law, Economics, and Judicial Systems",Applied,Political Economy & Governance
Legal Education and Practice Innovations,Applied,Political Economy & Governance
Legal principles and applications,Applied,Political Economy & Governance
Media Influence and Politics,Applied,Political Economy & Governance
Misinformation and Its Impacts,Applied,Political Economy & Governance
Policing Practices and Perceptions,Applied,Political Economy & Governance
Political Influence and Corporate Strategies,Applied,Political Economy & Governance
Political Philosophy and Ethics,Applied,Political Economy & Governance
"Politics and Conflicts in Afghanistan, Pakistan, and Middle East",Applied,Political Economy & Governance
"Populism, Right-Wing Movements",Applied,Political Economy & Governance
Regulation and Compliance Studies,Applied,Political Economy & Governance
Social Media and Politics,Applied,Political Economy & Governance
Social Policy and Reform Studies,Applied,Political Economy & Governance
Sociopolitical Dynamics in Russia,Applied,Political Economy & Governance
"Terrorism, Counterterrorism, and Political Violence",Applied,Political Economy & Governance
Corporate Taxation and Avoidance,Applied,Public Finance & Taxation
Local Government Finance and Decentralization,Applied,Public Finance & Taxation
Public Procurement and Policy,Applied,Public Finance & Taxation
Taxation and Compliance Studies,Applied,Public Finance & Taxation
Air Traffic Management and Optimization,Applied,Urban & Regional Economics
Regional Development and Policy,Applied,Urban & Regional Economics
Regional Economics and Spatial Analysis,Applied,Urban & Regional Economics
Transportation Planning and Optimization,Applied,Urban & Regional Economics
Transportation and Mobility Innovations,Applied,Urban & Regional Economics
Urban Transport and Accessibility,Applied,Urban & Regional Economics
Urban and Rural Development Challenges,Applied,Urban & Regional Economics
"Urban, Neighborhood, and Segregation Studies",Applied,Urban & Regional Economics
Urbanization and City Planning,Applied,Urban & Regional Economics
Advanced Causal Inference Techniques,Econometrics,Causal Inference & Identification
Bayesian Modeling and Causal Inference,Econometrics,Causal Inference & Identification
Advanced Bandit Algorithms Research,Econometrics,Machine Learning in Economics
Advanced Optimization Algorithms Research,Econometrics,Machine Learning in Economics
Computational and Text Analysis Methods,Econometrics,Machine Learning in Economics
Information Retrieval and Search Behavior,Econometrics,Machine Learning in Economics
Machine Learning and Algorithms,Econometrics,Machine Learning in Economics
Mobile Crowdsensing and Crowdsourcing,Econometrics,Machine Learning in Economics
Neural Networks and Applications,Econometrics,Machine Learning in Economics
Neural Networks and Reservoir Computing,Econometrics,Machine Learning in Economics
Privacy-Preserving Technologies in Data,Econometrics,Machine Learning in Economics
Scheduling and Optimization Algorithms,Econometrics,Machine Learning in Economics
Stochastic Gradient Optimization Techniques,Econometrics,Machine Learning in Economics
Advanced Queuing Theory Analysis,Econometrics,Statistical & Bayesian Methods
Advanced Statistical Methods and Models,Econometrics,Statistical & Bayesian Methods
Advanced Statistical Process Monitoring,Econometrics,Statistical & Bayesian Methods
Bayesian Methods and Mixture Models,Econometrics,Statistical & Bayesian Methods
Blind Source Separation Techniques,Econometrics,Statistical & Bayesian Methods
Complex Network Analysis Techniques,Econometrics,Statistical & Bayesian Methods
Evaluation and Performance Assessment,Econometrics,Statistical & Bayesian Methods
Fuzzy Systems and Optimization,Econometrics,Statistical & Bayesian Methods
Markov Chains and Monte Carlo Methods,Econometrics,Statistical & Bayesian Methods
Probabilistic and Robust Engineering Design,Econometrics,Statistical & Bayesian Methods
Statistical Methods and Bayesian Inference,Econometrics,Statistical & Bayesian Methods
Statistical Methods and Inference,Econometrics,Statistical & Bayesian Methods
Complex Systems and Time Series Analysis,Econometrics,Time Series & Panel Data Methods
Forecasting Techniques and Applications,Econometrics,Time Series & Panel Data Methods
Innovation Diffusion and Forecasting,Econometrics,Time Series & Panel Data Methods
Spatial and Panel Data Analysis,Econometrics,Time Series & Panel Data Methods
Economic Growth and Development,Macro,Business Cycles & Growth
Economic Growth and Productivity,Macro,Business Cycles & Growth
Economic Policies and Impacts,Macro,Business Cycles & Growth
"Economic, financial, and policy analysis",Macro,Business Cycles & Growth
German Economic Analysis & Policies,Macro,Business Cycles & Growth
"Banking stability, regulation, efficiency",Macro,Financial Markets & Stability
Credit Risk and Financial Regulations,Macro,Financial Markets & Stability
Financial Markets and Investment Strategies,Macro,Financial Markets & Stability
Financial Risk and Volatility Modeling,Macro,Financial Markets & Stability
Global Financial Crisis and Policies,Macro,Financial Markets & Stability
Housing Market and Economics,Macro,Financial Markets & Stability
"Housing, Finance, and Neoliberalism",Macro,Financial Markets & Stability
Insurance and Financial Risk Management,Macro,Financial Markets & Stability
Market Dynamics and Volatility,Macro,Financial Markets & Stability
State Capitalism and Financial Governance,Macro,Financial Markets & Stability
Fiscal Policies and Political Economy,Macro,Fiscal Policy
Fiscal Policy and Economic Growth,Macro,Fiscal Policy
European Monetary and Fiscal Policies,Macro,Monetary Policy & Central Banking
Monetary Policy and Economic Impact,Macro,Monetary Policy & Central Banking
Auction Theory and Applications,Micro,Auctions & Market Design
Decision-Making and Behavioral Economics,Micro,Behavioral & Experimental Economics
Experimental Behavioral Economics Studies,Micro,Behavioral & Experimental Economics
Gambling Behavior and Treatments,Micro,Behavioral & Experimental Economics
Risk Perception and Management,Micro,Behavioral & Experimental Economics
Evolutionary Game Theory and Cooperation,Micro,Game Theory & Mechanism Design
Game Theory and Applications,Micro,Game Theory & Mechanism Design
Game Theory and Voting Systems,Micro,Game Theory & Mechanism Design
Economic Theory and Institutions,Micro,General Economic Theory
Economic Theory and Policy,Micro,General Economic Theory
Economic theories and models,Micro,General Economic Theory
Aviation Industry Analysis and Trends,Micro,Industrial Organization & Competition
Consumer Market Behavior and Pricing,Micro,Industrial Organization & Competition
Consumer Retail Behavior Studies,Micro,Industrial Organization & Competition
Digital Platforms and Economics,Micro,Industrial Organization & Competition
Economic and Technological Innovation,Micro,Industrial Organization & Competition
Entrepreneurship Studies and Influences,Micro,Industrial Organization & Competition
Firm Innovation and Growth,Micro,Industrial Organization & Competition
Innovation Policy and R&D,Micro,Industrial Organization & Competition
Innovation and Knowledge Management,Micro,Industrial Organization & Competition
Intellectual Property and Patents,Micro,Industrial Organization & Competition
Merger and Competition Analysis,Micro,Industrial Organization & Competition
Sharing Economy and Platforms,Micro,Industrial Organization & Competition
Supply Chain Resilience and Risk Management,Micro,Industrial Organization & Competition
Technology Adoption and User Behaviour,Micro,Industrial Organization & Competition
