level1,level2,institution_name,paper_count
Applied,Corporate & Household Finance,"Chinese University of Hong Kong, Shenzhen",1
Applied,Corporate & Household Finance,Claremont McKenna College,1
Applied,Corporate & Household Finance,Collegio Carlo Alberto,1
Applied,Corporate & Household Finance,Dartmouth College,1
Applied,Corporate & Household Finance,Dartmouth Hospital,1
Applied,Corporate & Household Finance,DePaul University,1
Applied,Corporate & Household Finance,ENSAE Paris,1
Applied,Corporate & Household Finance,Einaudi Institute for Economics and Finance,1
Applied,Corporate & Household Finance,Erasmus University Rotterdam,1
Applied,Corporate & Household Finance,Escola Brasileira de Economia e Finanças,1
Applied,Corporate & Household Finance,European Corporate Governance Institute,1
Applied,Corporate & Household Finance,Fafo Foundation,1
Applied,Corporate & Household Finance,Federal Reserve Bank of Atlanta,1
Applied,Corporate & Household Finance,Federal Reserve Bank of Chicago,1
Applied,Corporate & Household Finance,Federal Reserve Bank of Richmond,1
Applied,Corporate & Household Finance,Federal Reserve Bank of St. Louis,1
Applied,Corporate & Household Finance,Florida State University,1
Applied,Corporate & Household Finance,Fondation Pour la Recherche Sur la Biodiversité,1
Applied,Corporate & Household Finance,George Washington University,1
Applied,Corporate & Household Finance,Goethe University Frankfurt,1
Applied,Corporate & Household Finance,Graduate Institute of International and Development Studies,1
Applied,Corporate & Household Finance,Guangdong University of Finance,1
Applied,Corporate & Household Finance,Hoover Institution,1
Applied,Corporate & Household Finance,IESE Business School,1
Applied,Corporate & Household Finance,IZA - Institute of Labor Economics,1
Applied,Corporate & Household Finance,Institució Catalana de Recerca i Estudis Avançats,1
Applied,Corporate & Household Finance,Kiel Institute for the World Economy,1
Applied,Corporate & Household Finance,London School of Economics and Political Science,1
Applied,Corporate & Household Finance,Ludwig-Maximilians-Universität München,1
Applied,Corporate & Household Finance,McGill University,1
Applied,Corporate & Household Finance,Monash University,1
Applied,Corporate & Household Finance,New School,1
Applied,Corporate & Household Finance,RAND Corporation,1
Applied,Corporate & Household Finance,Seoul National University,1
Applied,Corporate & Household Finance,Shanghai University of Finance and Economics,1
Applied,Corporate & Household Finance,Stockholm School of Economics,1
Applied,Corporate & Household Finance,Stockholm University,1
Applied,Corporate & Household Finance,Swedish House of Finance,1
Applied,Corporate & Household Finance,TU Dortmund University,1
Applied,Corporate & Household Finance,Texas A&M University,1
Applied,Corporate & Household Finance,The University of Sydney,1
Applied,Corporate & Household Finance,The University of Texas at Austin,1
Applied,Corporate & Household Finance,The University of Tokyo,1
Applied,Corporate & Household Finance,United States Agency for International Development,1
Applied,Corporate & Household Finance,United States Department of the Treasury,1
Applied,Corporate & Household Finance,Universidad Carlos III de Madrid,1
Applied,Corporate & Household Finance,University College London,1
Applied,Corporate & Household Finance,University of Arizona,1
Applied,Corporate & Household Finance,University of Bristol,1
Applied,Corporate & Household Finance,University of California San Diego,1
Applied,Corporate & Household Finance,"University of California, Los Angeles",1
Applied,Corporate & Household Finance,University of Cologne,1
Applied,Corporate & Household Finance,University of Copenhagen,1
Applied,Corporate & Household Finance,University of Edinburgh,1
Applied,Corporate & Household Finance,University of Essex,1
Applied,Corporate & Household Finance,University of Hong Kong,1
Applied,Corporate & Household Finance,University of Illinois Urbana-Champaign,1
Applied,Corporate & Household Finance,University of Konstanz,1
Applied,Corporate & Household Finance,University of Mannheim,1
Applied,Corporate & Household Finance,University of Padua,1
Applied,Corporate & Household Finance,University of Pennsylvania,1
Applied,Corporate & Household Finance,University of Surrey,1
Applied,Corporate & Household Finance,University of Toronto,1
Applied,Corporate & Household Finance,University of Tübingen,1
Applied,Corporate & Household Finance,University of Zurich,1
Applied,Corporate & Household Finance,Università della Svizzera italiana,1
Applied,Corporate & Household Finance,Uppsala University,1
Applied,Corporate & Household Finance,Virginia Commonwealth University,1
Applied,Development Economics,Center for Economic and Policy Research,15
Applied,Development Economics,National Bureau of Economic Research,11
Applied,Development Economics,"University of California, Berkeley",9
Applied,Development Economics,University of Chicago,9
Applied,Development Economics,Harvard University,7
Applied,Development Economics,Northwestern University,5
Applied,Development Economics,Boston University,4
Applied,Development Economics,Columbia University,4
Applied,Development Economics,London School of Economics and Political Science,4
Applied,Development Economics,Massachusetts Institute of Technology,4
Applied,Development Economics,"University of California, Los Angeles",4
Applied,Development Economics,University of Oxford,4
Applied,Development Economics,University of Toronto,4
Applied,Development Economics,Yale University,4
Applied,Development Economics,Centre for Economic Policy Research,3
Applied,Development Economics,Cornell University,3
Applied,Development Economics,Dartmouth Hospital,3
Applied,Development Economics,Duke University,3
Applied,Development Economics,ETH Zurich,3
Applied,Development Economics,Georgetown University,3
Applied,Development Economics,Institut d'Etudes Politiques de Paris,3
Applied,Development Economics,Institute for Fiscal Studies,3
Applied,Development Economics,National University of Singapore,3
Applied,Development Economics,Stockholm University,3
Applied,Development Economics,UNSW Sydney,3
Applied,Development Economics,University of British Columbia,3
Applied,Development Economics,University of California San Diego,3
Applied,Development Economics,University of Southern California,3
Applied,Development Economics,Abdul Latif Jameel Poverty Action Lab,2
Applied,Development Economics,American Enterprise Institute,2
Applied,Development Economics,BREAD (Bureau for Research and Economic Analysis of Development),2
Applied,Development Economics,Canadian Institute for Advanced Research,2
Applied,Development Economics,Center for Effective Global Action,2
Applied,Development Economics,Dartmouth College,2
Applied,Development Economics,Ifo Institute for Economic Research,2
Applied,Development Economics,Institute for Social and Economic Research,2
Applied,Development Economics,New York University,2
Applied,Development Economics,Norwegian School of Economics,2
Applied,Development Economics,Paris School of Economics,2
Applied,Development Economics,Peking University,2
Applied,Development Economics,Queen Mary University of London,2
Applied,Development Economics,Stanford University,2
Applied,Development Economics,Trinity College Dublin,2
Applied,Development Economics,University of Bristol,2
Applied,Development Economics,University of Hong Kong,2
Applied,Development Economics,University of Michigan,2
Applied,Development Economics,University of Zurich,2
Applied,Development Economics,Washington University in St. Louis,2
Applied,Development Economics,World Bank,2
Applied,Development Economics,York University,2
Applied,Development Economics,African Center for Economic Transformation,1
Applied,Development Economics,Agricultural & Applied Economics Association,1
Applied,Development Economics,Alzheimer's Society,1
Applied,Development Economics,American Institute for Economic Research,1
Applied,Development Economics,American University,1
Applied,Development Economics,BRAC University,1
Applied,Development Economics,Bank for International Settlements,1
Applied,Development Economics,Brandeis University,1
Applied,Development Economics,Brooks Automation (Germany),1
Applied,Development Economics,Brown University,1
Applied,Development Economics,Carnegie Mellon University,1
Applied,Development Economics,Center for Economic Research and Graduate Education – Economics Institute,1
Applied,Development Economics,"Center for Economic Research on Governance, Inequality and Conflict",1
Applied,Development Economics,Center for Islamic Studies (ISAM),1
Applied,Development Economics,Center for Social and Economic Research,1
Applied,Development Economics,Central Bank of Brazil,1
Applied,Development Economics,Central European University,1
Applied,Development Economics,Central University of Finance and Economics,1
Applied,Development Economics,Centre National de la Recherche Scientifique,1
Applied,Development Economics,Centre National pour la Recherche Scientifique et Technique (CNRST),1
Applied,Development Economics,Centre d'Études et de Recherches sur le Développement International,1
Applied,Development Economics,Centro de Estudios Monetarios y Financieros,1
Applied,Development Economics,Charles University,1
Applied,Development Economics,Chicago Department of Public Health,1
Applied,Development Economics,Chinese University of Hong Kong,1
Applied,Development Economics,Collège de France,1
Applied,Development Economics,Columbia Medical Practice,1
Applied,Development Economics,"Czech Academy of Sciences, Economics Institute",1
Applied,Development Economics,Einaudi Institute for Economics and Finance,1
Applied,Development Economics,Emory University,1
Applied,Development Economics,Federal Reserve Bank of Dallas,1
Applied,Development Economics,Federal Reserve Bank of New York,1
Applied,Development Economics,Federal Reserve Board of Governors,1
Applied,Development Economics,Federal Trade Commission,1
Applied,Development Economics,Ford Motor Company (United States),1
Applied,Development Economics,George Mason University,1
Applied,Development Economics,George Washington University,1
Applied,Development Economics,HKU-Pasteur Research Pole,1
Applied,Development Economics,Hebrew University of Jerusalem,1
Applied,Development Economics,Hong Kong Baptist University,1
Applied,Development Economics,IZA - Institute of Labor Economics,1
Applied,Development Economics,Impact,1
Applied,Development Economics,Imperial College London,1
Applied,Development Economics,Indiana University,1
Applied,Development Economics,Institute of International Trade and Law,1
Applied,Development Economics,International Food Policy Research Institute,1
Applied,Development Economics,Johns Hopkins University,1
Applied,Development Economics,Lahore University of Management Sciences,1
Applied,Development Economics,Ludwig-Maximilians-Universität München,1
Applied,Development Economics,Lund University,1
Applied,Development Economics,Makerere University,1
Applied,Development Economics,Max Planck Institute for Behavioral Economics,1
Applied,Development Economics,Nanjing University of Finance and Economics,1
Applied,Development Economics,National Research University Higher School of Economics,1
Applied,Development Economics,Northwood University,1
Applied,Development Economics,Olive View-UCLA Medical Center,1
Applied,Development Economics,Peterson Institute for International Economics,1
Applied,Development Economics,Pontificia Universidad Católica de Chile,1
Applied,Development Economics,Pontifícia Universidade Católica do Rio de Janeiro,1
Applied,Development Economics,Princeton University,1
Applied,Development Economics,Public Policy Institute of California,1
Applied,Development Economics,Ross School,1
Applied,Development Economics,Santa Fe Institute,1
Applied,Development Economics,Seoul National University,1
Applied,Development Economics,Shanghai Jiao Tong University,1
Applied,Development Economics,Sheehan Medical (United States),1
Applied,Development Economics,Syracuse University,1
Applied,Development Economics,The University of Queensland,1
Applied,Development Economics,The University of Texas at Austin,1
Applied,Development Economics,Tufts University,1
Applied,Development Economics,Tula University,1
Applied,Development Economics,Tulane University,1
Applied,Development Economics,United States Census Bureau,1
Applied,Development Economics,United States International Trade Commission,1
Applied,Development Economics,Universidad del Desarrollo,1
Applied,Development Economics,Universidad del Desarrollo del Estado de Puebla,1
Applied,Development Economics,University College London,1
Applied,Development Economics,University of Amsterdam,1
Applied,Development Economics,University of Bergamo,1
Applied,Development Economics,"University of California, Davis",1
Applied,Development Economics,"University of California, San Diego",1
Applied,Development Economics,"University of California, Santa Barbara",1
Applied,Development Economics,University of Chile,1
Applied,Development Economics,University of Cologne,1
Applied,Development Economics,University of Copenhagen,1
Applied,Development Economics,University of Glasgow,1
Applied,Development Economics,University of Gothenburg,1
Applied,Development Economics,University of International Business and Economics,1
Applied,Development Economics,University of Nigeria,1
Applied,Development Economics,University of Notre Dame,1
Applied,Development Economics,University of Pennsylvania,1
Applied,Development Economics,University of Pittsburgh,1
Applied,Development Economics,University of St.Gallen,1
Applied,Development Economics,University of Turin,1
Applied,Development Economics,University of Victoria,1
Applied,Development Economics,University of Virginia,1
Applied,Development Economics,University of Warwick,1
Applied,Development Economics,University of Wisconsin–Madison,1
Applied,Development Economics,Università Cattolica del Sacro Cuore,1
Applied,Development Economics,Université Clermont Auvergne,1
Applied,Development Economics,Utrecht University,1
Applied,Development Economics,Wagner College,1
Applied,Development Economics,Williams College,1
Applied,Development Economics,World Bank Group,1
Applied,Development Economics,Xiamen University,1
Applied,Development Economics,Zhejiang University,1
Applied,Development Economics,École Normale Supérieure de Lyon,1
Applied,Development Economics,École nationale des ponts et chaussées,1
Applied,Economic History,"University of California, Berkeley",3
Applied,Economic History,Center for Economic and Policy Research,2
Applied,Economic History,National Bureau of Economic Research,2
Applied,Economic History,Northwestern University,2
Applied,Economic History,"University of California, Los Angeles",2
Applied,Economic History,Australian National University,1
Applied,Economic History,Australian Regenerative Medicine Institute,1
Applied,Economic History,Bocconi University,1
Applied,Economic History,Boston University,1
Applied,Economic History,Center for Economic Research and Graduate Education – Economics Institute,1
Applied,Economic History,Centre for Economic Policy Research,1
Applied,Economic History,Fudan University,1
Applied,Economic History,George Washington University,1
Applied,Economic History,Harvard University,1
Applied,Economic History,Institut d'Etudes Politiques de Paris,1
Applied,Economic History,Keio University,1
Applied,Economic History,Libera Università Internazionale degli Studi Sociali Guido Carli,1
Applied,Economic History,Monash University,1
Applied,Economic History,SIL International,1
Applied,Economic History,University College Dublin,1
Applied,Economic History,University of Exeter,1
Applied,Economic History,University of Helsinki,1
Applied,Economic History,Vanderbilt University,1
Applied,Education Economics,University of Chicago,12
Applied,Education Economics,National Bureau of Economic Research,11
Applied,Education Economics,IZA - Institute of Labor Economics,6
Applied,Education Economics,Center for Economic and Policy Research,5
Applied,Education Economics,Duke University,5
Applied,Education Economics,"University of California, Berkeley",4
Applied,Education Economics,Bocconi University,3
Applied,Education Economics,Centre de Recherche en Économie et Statistique,3
Applied,Education Economics,Texas A&M University,3
Applied,Education Economics,University of Pennsylvania,3
Applied,Education Economics,Yale University,3
Applied,Education Economics,BREAD (Bureau for Research and Economic Analysis of Development),2
Applied,Education Economics,Centre National pour la Recherche Scientifique et Technique (CNRST),2
Applied,Education Economics,Cornell University,2
Applied,Education Economics,Don State Agrarian University,2
Applied,Education Economics,ENSAE Paris,2
Applied,Education Economics,Federal Trade Commission,2
Applied,Education Economics,Georgetown University,2
Applied,Education Economics,Harvard University,2
Applied,Education Economics,Learning Through an Expanded Arts Program,2
Applied,Education Economics,Massachusetts Institute of Technology,2
Applied,Education Economics,Norwegian School of Economics,2
Applied,Education Economics,Paris School of Economics,2
Applied,Education Economics,Pennsylvania State University,2
Applied,Education Economics,Pomona College,2
Applied,Education Economics,Stanford University,2
Applied,Education Economics,Statistics Norway,2
Applied,Education Economics,University College London,2
Applied,Education Economics,University of Amsterdam,2
Applied,Education Economics,"University of California, Los Angeles",2
Applied,Education Economics,University of Virginia,2
Applied,Education Economics,Aix-Marseille Université,1
Applied,Education Economics,Arizona State University,1
Applied,Education Economics,Australian National University,1
Applied,Education Economics,Baylor University,1
Applied,Education Economics,Berea College,1
Applied,Education Economics,Bilkent University,1
Applied,Education Economics,Boston College,1
Applied,Education Economics,Brandman University,1
Applied,Education Economics,Brown University,1
Applied,Education Economics,Bureau of Labor Statistics,1
Applied,Education Economics,CREATe Centre,1
Applied,Education Economics,Center for Responsible Travel,1
Applied,Education Economics,Centre National de la Recherche Scientifique,1
Applied,Education Economics,Centre Pour La Recherche Economique et ses Applications,1
Applied,Education Economics,Centre for Economic Policy Research,1
Applied,Education Economics,Centre for Research in Engineering Surface Technology,1
Applied,Education Economics,Citadel,1
Applied,Education Economics,City University of Hong Kong,1
Applied,Education Economics,Clemson University,1
Applied,Education Economics,Columbia University,1
Applied,Education Economics,Crown College,1
Applied,Education Economics,Deakin University,1
Applied,Education Economics,Economic Policy Institute,1
Applied,Education Economics,Federal Reserve Bank of Minneapolis,1
Applied,Education Economics,Federal Reserve Bank of New York,1
Applied,Education Economics,Film Independent,1
Applied,Education Economics,Health Education Council,1
Applied,Education Economics,Institute for Fiscal Studies,1
Applied,Education Economics,Inter-American Development Bank,1
Applied,Education Economics,International Food Policy Research Institute,1
Applied,Education Economics,Johns Hopkins University,1
Applied,Education Economics,McGill University,1
Applied,Education Economics,Mitchell Institute,1
Applied,Education Economics,Monash University,1
Applied,Education Economics,National University of Singapore,1
Applied,Education Economics,Naval Postgraduate School,1
Applied,Education Economics,New York University,1
Applied,Education Economics,Northwestern University,1
Applied,Education Economics,Nuffield Foundation,1
Applied,Education Economics,Princeton Public Schools,1
Applied,Education Economics,Princeton University,1
Applied,Education Economics,Public Policy Institute of California,1
Applied,Education Economics,Queen Mary University of London,1
Applied,Education Economics,RAND Corporation,1
Applied,Education Economics,Research Network (United States),1
Applied,Education Economics,Rice University,1
Applied,Education Economics,Shanghai Jiao Tong University,1
Applied,Education Economics,Sirius University of Science and Technology,1
Applied,Education Economics,Statistics Canada,1
Applied,Education Economics,Stockholm University,1
Applied,Education Economics,Temple University,1
Applied,Education Economics,The Centre for Health (New Zealand),1
Applied,Education Economics,The University of Melbourne,1
Applied,Education Economics,The University of Texas at Austin,1
Applied,Education Economics,Tinbergen Institute,1
Applied,Education Economics,Toulouse School of Economics,1
Applied,Education Economics,UCLouvain,1
Applied,Education Economics,United States Department of Labor,1
Applied,Education Economics,United States Department of the Treasury,1
Applied,Education Economics,Universidad Carlos III de Madrid,1
Applied,Education Economics,University College Dublin,1
Applied,Education Economics,University of Alicante,1
Applied,Education Economics,University of Bath,1
Applied,Education Economics,University of Bristol,1
Applied,Education Economics,University of California San Diego,1
Applied,Education Economics,"University of California, Irvine",1
Applied,Education Economics,"University of California, Merced",1
Applied,Education Economics,"University of California, Riverside",1
Applied,Education Economics,"University of California, Santa Cruz",1
Applied,Education Economics,University of Cambridge,1
Applied,Education Economics,University of Cape Town,1
Applied,Education Economics,University of Essex,1
Applied,Education Economics,University of Florida,1
Applied,Education Economics,University of Illinois Chicago,1
Applied,Education Economics,University of Lausanne,1
Applied,Education Economics,University of Leicester,1
Applied,Education Economics,"University of Maryland, College Park",1
Applied,Education Economics,University of Minnesota System,1
Applied,Education Economics,University of Nebraska–Lincoln,1
Applied,Education Economics,University of Northwestern,1
Applied,Education Economics,University of Notre Dame,1
Applied,Education Economics,University of Oklahoma,1
Applied,Education Economics,University of Oregon,1
Applied,Education Economics,University of Oslo,1
Applied,Education Economics,University of Oxford,1
Applied,Education Economics,University of Palermo,1
Applied,Education Economics,University of Pittsburgh,1
Applied,Education Economics,University of Southern California,1
Applied,Education Economics,University of Wisconsin–Madison,1
Applied,Education Economics,University of Zurich,1
Applied,Education Economics,University of the Sacred Heart,1
Applied,Education Economics,Université Laval,1
Applied,Education Economics,Université Libre de Bruxelles,1
Applied,Education Economics,Université de Montréal,1
Applied,Education Economics,Vrije Universiteit Amsterdam,1
Applied,Education Economics,Walker (United States),1
Applied,Education Economics,Western University,1
Applied,Education Economics,Wroclaw University of Economics and Business,1
Applied,Education Economics,Wunschbaby Institut für Kinderwunsch,1
Applied,Education Economics,École Normale Supérieure,1
Applied,Education Economics,École Polytechnique,1
Applied,Education Economics,İzmir University of Economics,1
Applied,Environmental & Energy Economics,National Bureau of Economic Research,6
Applied,Environmental & Energy Economics,"University of California, Berkeley",6
Applied,Environmental & Energy Economics,University of Chicago,5
Applied,Environmental & Energy Economics,London School of Economics and Political Science,4
Applied,Environmental & Energy Economics,Center for Economic and Policy Research,3
Applied,Environmental & Energy Economics,Columbia University,3
Applied,Environmental & Energy Economics,Duke University,3
Applied,Environmental & Energy Economics,Princeton University,3
Applied,Environmental & Energy Economics,"University of Maryland, College Park",3
Applied,Environmental & Energy Economics,University of Toronto,3
Applied,Environmental & Energy Economics,Yale University,3
Applied,Environmental & Energy Economics,Centre for Economic Policy Research,2
Applied,Environmental & Energy Economics,Cornell University,2
Applied,Environmental & Energy Economics,Federal Reserve Bank of New York,2
Applied,Environmental & Energy Economics,Institute for Fiscal Studies,2
Applied,Environmental & Energy Economics,Massachusetts Institute of Technology,2
Applied,Environmental & Energy Economics,Shanghai University of Finance and Economics,2
Applied,Environmental & Energy Economics,Stanford University,2
Applied,Environmental & Energy Economics,Stockholm University,2
Applied,Environmental & Energy Economics,United States Census Bureau,2
Applied,Environmental & Energy Economics,University of Michigan,2
Applied,Environmental & Energy Economics,World Bank Group,2
Applied,Environmental & Energy Economics,Aix-Marseille Université,1
Applied,Environmental & Energy Economics,Analysis Group (United States),1
Applied,Environmental & Energy Economics,Arizona State University,1
Applied,Environmental & Energy Economics,Australian National University,1
Applied,Environmental & Energy Economics,Bank of Mexico,1
Applied,Environmental & Energy Economics,CIRED,1
Applied,Environmental & Energy Economics,Ca' Foscari University of Venice,1
Applied,Environmental & Energy Economics,California Institute of Technology,1
Applied,Environmental & Energy Economics,Carleton College,1
Applied,Environmental & Energy Economics,Carleton University,1
Applied,Environmental & Energy Economics,Cheung Kong Graduate School of Business,1
Applied,Environmental & Energy Economics,Congressional Budget Office,1
Applied,Environmental & Energy Economics,Duke Kunshan University,1
Applied,Environmental & Energy Economics,Dyson (United Kingdom),1
Applied,Environmental & Energy Economics,Faculdades Guarulhos,1
Applied,Environmental & Energy Economics,Federal Reserve Bank of Chicago,1
Applied,Environmental & Energy Economics,Federal Reserve Bank of Richmond,1
Applied,Environmental & Energy Economics,Ford Motor Company (United States),1
Applied,Environmental & Energy Economics,Fudan University,1
Applied,Environmental & Energy Economics,Fundação Getulio Vargas,1
Applied,Environmental & Energy Economics,Fundação de Apoio à Universidade Federal de São Paulo,1
Applied,Environmental & Energy Economics,Georgetown University,1
Applied,Environmental & Energy Economics,Harbin Institute of Technology,1
Applied,Environmental & Energy Economics,Harvard University,1
Applied,Environmental & Energy Economics,IIT@MIT,1
Applied,Environmental & Energy Economics,IZA - Institute of Labor Economics,1
Applied,Environmental & Energy Economics,Ifo Institute for Economic Research,1
Applied,Environmental & Energy Economics,Imperial College London,1
Applied,Environmental & Energy Economics,Indiana University,1
Applied,Environmental & Energy Economics,Insper,1
Applied,Environmental & Energy Economics,Inter-American Development Bank,1
Applied,Environmental & Energy Economics,International Finance Corporation,1
Applied,Environmental & Energy Economics,Madison Group (United States),1
Applied,Environmental & Energy Economics,NIHR Imperial Biomedical Research Centre,1
Applied,Environmental & Energy Economics,National Bank of Belgium,1
Applied,Environmental & Energy Economics,Natural Resources Canada,1
Applied,Environmental & Energy Economics,Organisation de Coopération et de Développement Economiques,1
Applied,Environmental & Energy Economics,Paris School of Economics,1
Applied,Environmental & Energy Economics,Peking University,1
Applied,Environmental & Energy Economics,Pontificia Universidad Católica de Chile,1
Applied,Environmental & Energy Economics,Pontifícia Universidade Católica do Rio de Janeiro,1
Applied,Environmental & Energy Economics,Renmin University of China,1
Applied,Environmental & Energy Economics,Resources For The Future,1
Applied,Environmental & Energy Economics,Ross School,1
Applied,Environmental & Energy Economics,Royal Holloway University of London,1
Applied,Environmental & Energy Economics,Shanghai University of International Business and Economics,1
Applied,Environmental & Energy Economics,StataCorp (United States),1
Applied,Environmental & Energy Economics,Stockholm School of Economics,1
Applied,Environmental & Energy Economics,Texas A&M University – San Antonio,1
Applied,Environmental & Energy Economics,The University of Texas at Austin,1
Applied,Environmental & Energy Economics,Tufts University,1
Applied,Environmental & Energy Economics,UCLA Medical Center,1
Applied,Environmental & Energy Economics,University College London,1
Applied,Environmental & Energy Economics,University of Arizona,1
Applied,Environmental & Energy Economics,University of British Columbia,1
Applied,Environmental & Energy Economics,"University of California, Irvine",1
Applied,Environmental & Energy Economics,"University of California, Los Angeles",1
Applied,Environmental & Energy Economics,University of Copenhagen,1
Applied,Environmental & Energy Economics,University of Delaware,1
Applied,Environmental & Energy Economics,University of Exeter,1
Applied,Environmental & Energy Economics,University of Mannheim,1
Applied,Environmental & Energy Economics,University of Oregon,1
Applied,Environmental & Energy Economics,University of Oslo,1
Applied,Environmental & Energy Economics,University of Oxford,1
Applied,Environmental & Energy Economics,University of Pennsylvania,1
Applied,Environmental & Energy Economics,University of Virginia,1
Applied,Environmental & Energy Economics,University of Warwick,1
Applied,Environmental & Energy Economics,University of Washington,1
Applied,Environmental & Energy Economics,University of Wisconsin–Madison,1
Applied,Environmental & Energy Economics,University of Zurich,1
Applied,Environmental & Energy Economics,Université Paris Sciences et Lettres,1
Applied,Environmental & Energy Economics,Williams College,1
Applied,Environmental & Energy Economics,World Bank,1
Applied,Environmental & Energy Economics,École Nationale Supérieure des Mines de Paris,1
Applied,Environmental & Energy Economics,École Pratique des Hautes Études,1
Applied,Environmental & Energy Economics,École des Hautes Études en Santé Publique,1
Applied,Health Economics,National Bureau of Economic Research,14
Applied,Health Economics,Stanford University,12
Applied,Health Economics,University of Chicago,11
Applied,Health Economics,Harvard University,7
Applied,Health Economics,Massachusetts Institute of Technology,6
Applied,Health Economics,Boston University,4
Applied,Health Economics,"University of California, Berkeley",4
Applied,Health Economics,Yale University,4
Applied,Health Economics,Center for Economic and Policy Research,3
Applied,Health Economics,Emory University,3
Applied,Health Economics,Northwestern University,3
Applied,Health Economics,Princeton University,3
Applied,Health Economics,RAND Corporation,3
Applied,Health Economics,Vanderbilt University,3
Applied,Health Economics,Bureau of Economic Analysis,2
Applied,Health Economics,Centre for Economic Policy Research,2
Applied,Health Economics,Columbia University,2
Applied,Health Economics,Hebrew University of Jerusalem,2
Applied,Health Economics,IZA - Institute of Labor Economics,2
Applied,Health Economics,Johns Hopkins University,2
Applied,Health Economics,Paris School of Economics,2
Applied,Health Economics,The University of Texas at Austin,2
Applied,Health Economics,"University of California, Los Angeles",2
Applied,Health Economics,University of Georgia,2
Applied,Health Economics,University of Michigan,2
Applied,Health Economics,University of Toronto,2
Applied,Health Economics,École Polytechnique,2
Applied,Health Economics,Aarhus University,1
Applied,Health Economics,Alfred P. Sloan Foundation,1
Applied,Health Economics,Amsterdam UMC Location Vrije Universiteit Amsterdam,1
Applied,Health Economics,Australian National University,1
Applied,Health Economics,Brown University,1
Applied,Health Economics,CY Cergy Paris Université,1
Applied,Health Economics,Carnegie Mellon University,1
Applied,Health Economics,Center for Interuniversity Research and Analysis on Organizations,1
Applied,Health Economics,Center for Social and Economic Research,1
Applied,Health Economics,Centre National de la Recherche Scientifique,1
Applied,Health Economics,Centre Pour La Recherche Economique et ses Applications,1
Applied,Health Economics,Centre de Recherche en Économie et Statistique,1
Applied,Health Economics,Chinese University of Hong Kong,1
Applied,Health Economics,Cornell University,1
Applied,Health Economics,Dana-Farber/Harvard Cancer Center,1
Applied,Health Economics,Data Management (Italy),1
Applied,Health Economics,Duke Energy (United States),1
Applied,Health Economics,Duke University,1
Applied,Health Economics,Entrepreneurial Ecosystems,1
Applied,Health Economics,Erasmus University Rotterdam,1
Applied,Health Economics,Fafo Foundation,1
Applied,Health Economics,Federal Reserve Bank of Boston,1
Applied,Health Economics,Federal Reserve Bank of Chicago,1
Applied,Health Economics,Federal Reserve Bank of Minneapolis,1
Applied,Health Economics,Federal Reserve Bank of San Francisco,1
Applied,Health Economics,Florida State University,1
Applied,Health Economics,George Institute for Global Health,1
Applied,Health Economics,George Mason University,1
Applied,Health Economics,Google (United States),1
Applied,Health Economics,HEC Montréal,1
Applied,Health Economics,Hong Kong University of Science and Technology,1
Applied,Health Economics,Institut de recherches économiques et sociales,1
Applied,Health Economics,Institute for Fiscal Studies,1
Applied,Health Economics,Instituto Tecnológico Autónomo de México,1
Applied,Health Economics,John F. Kennedy University,1
